Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level,Fjord_Position,Is_Persistent,Distance_to_Salmon_River_km,Nearest_Salmon_River,River_Zone,Salmon_Index,Trout_Score,Salmon_Distance_Category,Salmon_Pressure,Trout_Pressure
33937,3,63.338917,8.2718,Zone 3: Mid (63-66°N),Nørholmen,Occasional (3-5 years),Mid-Fjord,False,53.5,Surna,Zone 3,80,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
33957,4,63.722168,8.913317,Zone 3: Mid (63-66°N),Hofsøya,Occasional (3-5 years),Mid-Fjord,False,64.5,Orkla,Zone 3,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
33997,3,70.65926,22.640932,Zone 5: Arctic (69-71°N),Næringsbukta,Occasional (3-5 years),Mid-Fjord,False,87.3,Altaelva,Zone 5,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
33998,4,70.66345,22.621733,Zone 5: Arctic (69-71°N),Klubben,Occasional (3-5 years),Mid-Fjord,False,87.9,Altaelva,Zone 5,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34017,5,63.6686,8.844717,Zone 3: Mid (63-66°N),Hilbåan,Occasional (3-5 years),Mid-Fjord,False,62.9,Orkla,Zone 3,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34018,0,65.02533,11.676017,Zone 3: Mid (63-66°N),Dolma N,Sporadic (0-2 years),Mid-Fjord,False,59.2,Namsen,Zone 4,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34037,11,67.73985,14.896817,Zone 4: Northern (66-69°N),Kråkåsen,Persistent (9-10 years),Inner Fjord,True,74.5,Saltdalselva,Zone 4,85,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
34057,3,69.12883,17.79755,Zone 5: Arctic (69-71°N),Mohamn,Occasional (3-5 years),Inner Fjord,False,31.5,Målselva,Zone 4,95,3,Close to Salmon River (20-50km),Very High Salmon Pressure,High Sea Trout
34117,3,60.17177,5.563633,Zone 2: Western (60-63°N),Skåtholmen,Occasional (3-5 years),Mid-Fjord,False,66.4,Vosso,Zone 2,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34137,1,69.47495,18.065416,Zone 5: Arctic (69-71°N),Skårliodden,Sporadic (0-2 years),Mid-Fjord,False,55.7,Målselva,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34197,7,65.978714,12.16355,Zone 3: Mid (63-66°N),Brennholmen,Recurrent (6-8 years),Mid-Fjord,False,51.3,Vefsna,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34257,2,65.07878,11.724033,Zone 3: Mid (63-66°N),Lekafjorden II,Sporadic (0-2 years),Mid-Fjord,False,65.4,Namsen,Zone 4,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
34277,5,68.65585,14.729617,Zone 4: Northern (66-69°N),Mikkelsøya,Occasional (3-5 years),Inner Fjord,False,156.8,Målselva,Zone 4,95,3,Far from Salmon River (>100km),Very High Salmon Pressure,High Sea Trout
34297,3,68.40086,16.2171,Zone 4: Northern (66-69°N),Stabben,Occasional (3-5 years),Inner Fjord,False,114.2,Målselva,Zone 4,95,3,Far from Salmon River (>100km),Very High Salmon Pressure,High Sea Trout
34337,0,67.95035,13.077717,Zone 4: Northern (66-69°N),Olstind,Sporadic (0-2 years),Inner Fjord,False,131.5,Beiarvassdraget,Zone 4,75,2,Far from Salmon River (>100km),High Salmon Pressure,Medium Sea Trout
