Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level,Fjord_Position,Is_Persistent,Distance_to_Port_km,Nearest_Port,Port_Size,Port_Traffic,Distance_to_Lane_km,Nearest_Lane,Lane_Traffic,Vessel_Score,Port_Distance_Category,Lane_Distance_Category,Vessel_Traffic_Level
28956,6,66.819984,13.461467,Zone 4: Northern (66-69°N),Meløysjøen,Recurrent (6-8 years),Inner Fjord,False,64.5,Mo i Rana,small,30,170.8,Trondheim-Bodø,80,1.1,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
28976,7,60.4029,5.063717,Zone 2: Western (60-63°N),Kelvesteinen,Recurrent (6-8 years),Mid-Fjord,False,13.0,Bergen,major,100,87.3,Stavanger-Bergen,100,4.1,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
28996,6,59.691643,5.54298,Zone 1: Southern (58-60°N),Loddetå,Recurrent (6-8 years),Mid-Fjord,False,35.3,Haugesund,medium,65,5.2,Stavanger-Bergen,100,9.4,Close to Port (20-50km),On Shipping Lane (<10km),Medium Vessel Traffic
29016,3,64.96465,11.592733,Zone 3: Mid (63-66°N),Båfjordstranda,Occasional (3-5 years),Mid-Fjord,False,52.0,Namsos,small,25,57.3,Trondheim-Bodø,80,1.8,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
29056,2,63.60803,8.494633,Zone 3: Mid (63-66°N),Lille Torsøy II,Sporadic (0-2 years),Mid-Fjord,False,69.2,Kristiansund,medium,60,74.0,Ålesund-Trondheim,85,1.4,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
29096,0,68.44508,14.819383,Zone 4: Northern (66-69°N),Grøttøy,Sporadic (0-2 years),Inner Fjord,False,18.8,Stokmarknes,small,30,77.1,Bodø-Tromsø,75,3.2,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
29116,5,63.450333,8.167717,Zone 3: Mid (63-66°N),Reiråklakken,Occasional (3-5 years),Mid-Fjord,False,45.6,Kristiansund,medium,60,56.2,Ålesund-Trondheim,85,1.9,Close to Port (20-50km),Moderate (30-60km),Minimal Vessel Traffic
29276,4,60.509335,4.9317,Zone 2: Western (60-63°N),Rongøy,Occasional (3-5 years),Mid-Fjord,False,23.6,Bergen,major,100,100.8,Stavanger-Bergen,100,2.5,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
29296,2,67.0951,13.875217,Zone 4: Northern (66-69°N),Fleina,Sporadic (0-2 years),Inner Fjord,False,32.2,Bodø,major,80,192.5,Bodø-Tromsø,75,1.8,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
29336,5,60.1178,5.2702,Zone 2: Western (60-63°N),Trælsøyosen,Occasional (3-5 years),Mid-Fjord,False,31.5,Bergen,major,100,53.7,Stavanger-Bergen,100,2.5,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
29356,1,64.75597,11.54245,Zone 3: Mid (63-66°N),Smineset N,Sporadic (0-2 years),Mid-Fjord,False,28.6,Namsos,small,25,77.6,Trondheim-Bodø,80,2.3,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
29376,6,66.17145,12.77065,Zone 4: Northern (66-69°N),Sundsøy,Recurrent (6-8 years),Inner Fjord,False,20.6,Sandnessjøen,small,25,93.2,Trondheim-Bodø,80,2.8,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
29416,0,70.020584,29.215334,Zone 5: Arctic (69-71°N),Åpenvik,Sporadic (0-2 years),Mid-Fjord,False,46.8,Kirkenes,medium,40,92.0,Hammerfest-Kirkenes,50,1.6,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
29417,2,65.93497,12.139133,Zone 3: Mid (63-66°N),Ytre Vassholmen,Sporadic (0-2 years),Mid-Fjord,False,22.2,Sandnessjøen,small,25,66.3,Trondheim-Bodø,80,2.9,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
29436,0,66.1185,12.814183,Zone 4: Northern (66-69°N),Juvika,Sporadic (0-2 years),Inner Fjord,False,16.4,Sandnessjøen,small,25,87.8,Trondheim-Bodø,80,3.4,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
29458,0,69.73064,18.653584,Zone 5: Arctic (69-71°N),Blåmannsvik,Sporadic (0-2 years),Mid-Fjord,False,19.8,Tromsø,major,85,113.4,Tromsø-Hammerfest,60,2.8,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
29476,2,69.70945,18.364,Zone 5: Arctic (69-71°N),Klokkardalen,Sporadic (0-2 years),Mid-Fjord,False,27.5,Tromsø,major,85,124.5,Tromsø-Hammerfest,60,2.2,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
29537,3,64.454636,10.630717,Zone 3: Mid (63-66°N),Eldviktaren,Occasional (3-5 years),Mid-Fjord,False,42.1,Namsos,small,25,130.3,Trondheim-Bodø,80,1.5,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
