Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level,Fjord_Position,Is_Persistent,Distance_to_Port_km,Nearest_Port,Port_Size,Port_Traffic,Distance_to_Lane_km,Nearest_Lane,Lane_Traffic,Vessel_Score,Port_Distance_Category,Lane_Distance_Category,Vessel_Traffic_Level
10029,0,59.371235,5.216333,Zone 1: Southern (58-60°N),Tuholmane Ø,Sporadic (0-2 years),Mid-Fjord,False,5.7,Haugesund,medium,65,35.0,Stavanger-Bergen,100,8.9,Very Close to Port (<20km),Moderate (30-60km),Medium Vessel Traffic
10041,4,60.054317,5.090733,Zone 2: Western (60-63°N),Kviksholmen,Occasional (3-5 years),Mid-Fjord,False,40.2,Bergen,major,100,50.5,Stavanger-Bergen,100,2.2,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10045,0,60.08808,5.120633,Zone 2: Western (60-63°N),Eidholmen,Sporadic (0-2 years),Mid-Fjord,False,36.1,Bergen,major,100,53.2,Stavanger-Bergen,100,2.3,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10050,1,59.866566,5.228133,Zone 1: Southern (58-60°N),Ospøy Ø,Sporadic (0-2 years),Mid-Fjord,False,52.1,Haugesund,medium,65,28.6,Stavanger-Bergen,100,2.6,Moderate (50-100km),Near Lane (10-30km),Low Vessel Traffic
10054,3,60.02432,5.30815,Zone 2: Western (60-63°N),Tobbeholmane,Occasional (3-5 years),Mid-Fjord,False,41.9,Bergen,major,100,43.1,Stavanger-Bergen,100,2.3,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10078,0,60.997734,5.0304,Zone 2: Western (60-63°N),Mjånes,Sporadic (0-2 years),Mid-Fjord,False,67.1,Florø,medium,45,63.5,Bergen-Ålesund,90,1.5,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10080,3,60.53015,5.11575,Zone 2: Western (60-63°N),Laksevika,Occasional (3-5 years),Mid-Fjord,False,17.7,Bergen,major,100,100.4,Stavanger-Bergen,100,3.2,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
10086,6,60.723415,5.328583,Zone 2: Western (60-63°N),Rekeviki,Recurrent (6-8 years),Mid-Fjord,False,36.1,Bergen,major,100,84.1,Bergen-Ålesund,90,1.9,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10087,6,61.319366,4.707167,Zone 2: Western (60-63°N),Kalvøya N,Recurrent (6-8 years),Mid-Fjord,False,35.0,Florø,medium,45,57.6,Bergen-Ålesund,90,2.2,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10090,2,61.370384,5.0185,Zone 2: Western (60-63°N),Trellevika,Sporadic (0-2 years),Mid-Fjord,False,25.6,Florø,medium,45,40.1,Bergen-Ålesund,90,3.1,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10091,6,61.489735,5.023517,Zone 2: Western (60-63°N),Vågsøya,Recurrent (6-8 years),Mid-Fjord,False,12.4,Florø,medium,45,39.0,Bergen-Ålesund,90,5.0,Very Close to Port (<20km),Moderate (30-60km),Medium Vessel Traffic
10110,3,59.1474,5.863783,Zone 1: Southern (58-60°N),Djupevik,Occasional (3-5 years),Mid-Fjord,False,29.1,Stavanger,major,95,59.7,Stavanger-Bergen,100,2.5,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10113,4,59.12232,5.934433,Zone 1: Southern (58-60°N),Kobbavika,Occasional (3-5 years),Mid-Fjord,False,28.2,Stavanger,major,95,63.8,Stavanger-Bergen,100,2.5,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10136,4,59.95335,5.669683,Zone 1: Southern (58-60°N),Onarøy,Occasional (3-5 years),Mid-Fjord,False,53.8,Bergen,major,100,35.1,Stavanger-Bergen,100,2.3,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
10137,4,60.264084,5.6591,Zone 2: Western (60-63°N),Matland,Occasional (3-5 years),Mid-Fjord,False,25.0,Bergen,major,100,69.0,Stavanger-Bergen,100,2.6,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10147,2,59.741932,5.98095,Zone 1: Southern (58-60°N),Tungesvik,Sporadic (0-2 years),Mid-Fjord,False,54.2,Haugesund,medium,65,29.0,Stavanger-Bergen,100,2.6,Moderate (50-100km),Near Lane (10-30km),Low Vessel Traffic
10149,7,59.790916,6.176567,Zone 1: Southern (58-60°N),Rafdal,Recurrent (6-8 years),Mid-Fjord,False,65.9,Haugesund,medium,65,41.2,Stavanger-Bergen,100,1.9,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10181,5,62.5174,6.15805,Zone 2: Western (60-63°N),Oksebåsen V,Occasional (3-5 years),Mid-Fjord,False,2.9,Ålesund,major,85,119.7,Ålesund-Trondheim,85,13.2,Very Close to Port (<20km),Far from Lane (>60km),High Vessel Traffic
10194,3,62.735832,6.74745,Zone 2: Western (60-63°N),Hellaren,Occasional (3-5 years),Mid-Fjord,False,23.5,Molde,medium,55,82.6,Ålesund-Trondheim,85,2.6,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10197,4,62.28765,6.990333,Zone 2: Western (60-63°N),Opshaugvik,Occasional (3-5 years),Mid-Fjord,False,47.2,Molde,medium,55,99.8,Ålesund-Trondheim,85,1.5,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10206,2,63.0693,7.60185,Zone 3: Mid (63-66°N),Kleven,Sporadic (0-2 years),Mid-Fjord,False,6.0,Kristiansund,medium,60,37.8,Ålesund-Trondheim,85,8.4,Very Close to Port (<20km),Moderate (30-60km),Medium Vessel Traffic
10212,4,63.077667,7.90345,Zone 3: Mid (63-66°N),Bogen,Occasional (3-5 years),Mid-Fjord,False,10.6,Kristiansund,medium,60,24.6,Ålesund-Trondheim,85,6.3,Very Close to Port (<20km),Near Lane (10-30km),Medium Vessel Traffic
10213,3,62.9424,8.0756,Zone 2: Western (60-63°N),Naustneset,Occasional (3-5 years),Coastal/Outer,False,25.9,Kristiansund,medium,60,11.4,Ålesund-Trondheim,85,5.9,Close to Port (20-50km),Near Lane (10-30km),Medium Vessel Traffic
10216,3,63.076733,8.19315,Zone 3: Mid (63-66°N),Skåren,Occasional (3-5 years),Mid-Fjord,False,25.0,Kristiansund,medium,60,15.1,Ålesund-Trondheim,85,5.0,Close to Port (20-50km),Near Lane (10-30km),Medium Vessel Traffic
10223,5,63.39795,8.214317,Zone 3: Mid (63-66°N),Bremnessvaet,Occasional (3-5 years),Mid-Fjord,False,42.1,Kristiansund,medium,60,50.1,Ålesund-Trondheim,85,2.1,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10224,6,63.14268,8.225383,Zone 3: Mid (63-66°N),Korsneset,Recurrent (6-8 years),Mid-Fjord,False,26.9,Kristiansund,medium,60,21.8,Ålesund-Trondheim,85,4.0,Close to Port (20-50km),Near Lane (10-30km),Low Vessel Traffic
10229,3,63.144585,8.459567,Zone 3: Mid (63-66°N),Fætten,Occasional (3-5 years),Mid-Fjord,False,38.6,Kristiansund,medium,60,23.1,Ålesund-Trondheim,85,3.3,Close to Port (20-50km),Near Lane (10-30km),Low Vessel Traffic
10232,6,63.8473,8.53675,Zone 3: Mid (63-66°N),Mannbruholmen,Recurrent (6-8 years),Mid-Fjord,False,93.2,Kristiansund,medium,60,100.7,Ålesund-Trondheim,85,1.0,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10240,3,63.651974,8.88687,Zone 3: Mid (63-66°N),Ilsøya Ø,Occasional (3-5 years),Mid-Fjord,False,80.4,Trondheim,major,95,83.6,Ålesund-Trondheim,85,1.2,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10256,0,64.81715,10.7425,Zone 3: Mid (63-66°N),Bondøya,Sporadic (0-2 years),Mid-Fjord,False,50.6,Namsos,small,25,98.0,Trondheim-Bodø,80,1.5,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10262,0,65.01145,11.6139,Zone 3: Mid (63-66°N),Lille Kvitholmen,Sporadic (0-2 years),Mid-Fjord,False,57.3,Namsos,small,25,52.7,Trondheim-Bodø,80,1.8,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10264,0,64.9774,11.728117,Zone 3: Mid (63-66°N),Digermulen,Sporadic (0-2 years),Mid-Fjord,False,54.3,Namsos,small,25,52.1,Trondheim-Bodø,80,1.8,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10275,2,70.14145,22.3542,Zone 5: Arctic (69-71°N),Auskarnes Ø,Sporadic (0-2 years),Mid-Fjord,False,45.0,Alta,small,30,38.1,Tromsø-Hammerfest,60,2.4,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10276,2,70.077034,22.666183,Zone 5: Arctic (69-71°N),Sommarbukt,Sporadic (0-2 years),Mid-Fjord,False,31.2,Alta,small,30,50.6,Tromsø-Hammerfest,60,2.5,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10281,6,70.32066,22.89715,Zone 5: Arctic (69-71°N),Store Kvalfjord,Recurrent (6-8 years),Mid-Fjord,False,49.4,Alta,small,30,61.4,Tromsø-Hammerfest,60,1.8,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10291,4,59.72663,5.145617,Zone 1: Southern (58-60°N),Hiskholmen,Occasional (3-5 years),Mid-Fjord,False,37.4,Haugesund,medium,65,21.7,Stavanger-Bergen,100,3.5,Close to Port (20-50km),Near Lane (10-30km),Low Vessel Traffic
10292,3,59.714535,5.15405,Zone 1: Southern (58-60°N),Lyklingholmen N,Occasional (3-5 years),Mid-Fjord,False,36.0,Haugesund,medium,65,20.8,Stavanger-Bergen,100,3.6,Close to Port (20-50km),Near Lane (10-30km),Low Vessel Traffic
10298,3,59.8665,5.244133,Zone 1: Southern (58-60°N),Ålforo,Occasional (3-5 years),Mid-Fjord,False,52.1,Haugesund,medium,65,28.1,Stavanger-Bergen,100,2.7,Moderate (50-100km),Near Lane (10-30km),Low Vessel Traffic
10300,6,59.6084,5.311917,Zone 1: Southern (58-60°N),Hillersvik,Recurrent (6-8 years),Mid-Fjord,False,23.2,Haugesund,medium,65,11.6,Stavanger-Bergen,100,6.0,Close to Port (20-50km),Near Lane (10-30km),Medium Vessel Traffic
10303,4,59.743034,5.363783,Zone 1: Southern (58-60°N),Nappeholmane,Occasional (3-5 years),Mid-Fjord,False,38.4,Haugesund,medium,65,12.9,Stavanger-Bergen,100,4.9,Close to Port (20-50km),Near Lane (10-30km),Low Vessel Traffic
10309,2,60.468468,4.965967,Zone 2: Western (60-63°N),Syrtangen,Sporadic (0-2 years),Mid-Fjord,False,19.9,Bergen,major,100,95.9,Stavanger-Bergen,100,2.9,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
10311,8,61.201717,5.170933,Zone 2: Western (60-63°N),Storlia,Recurrent (6-8 years),Mid-Fjord,False,45.3,Florø,medium,45,41.6,Bergen-Ålesund,90,2.3,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10317,0,61.31663,4.979333,Zone 2: Western (60-63°N),Garvik,Sporadic (0-2 years),Mid-Fjord,False,31.6,Florø,medium,45,43.8,Bergen-Ålesund,90,2.6,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10318,6,61.75802,5.069883,Zone 2: Western (60-63°N),Gulestø,Recurrent (6-8 years),Mid-Fjord,False,15.9,Måløy,medium,40,49.8,Bergen-Ålesund,90,3.9,Very Close to Port (<20km),Moderate (30-60km),Low Vessel Traffic
10319,2,61.584034,5.133633,Zone 2: Western (60-63°N),Ålvora,Sporadic (0-2 years),Mid-Fjord,False,7.3,Florø,medium,45,36.0,Bergen-Ålesund,90,7.4,Very Close to Port (<20km),Moderate (30-60km),Medium Vessel Traffic
10324,4,60.223083,5.641167,Zone 2: Western (60-63°N),Gjerdeviksflua,Occasional (3-5 years),Mid-Fjord,False,27.3,Bergen,major,100,64.3,Stavanger-Bergen,100,2.5,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10328,3,60.141033,5.906933,Zone 2: Western (60-63°N),Sagvik,Occasional (3-5 years),Mid-Fjord,False,44.3,Bergen,major,100,59.3,Stavanger-Bergen,100,1.9,Close to Port (20-50km),Moderate (30-60km),Minimal Vessel Traffic
10331,6,60.112434,6.042483,Zone 2: Western (60-63°N),Åkre,Recurrent (6-8 years),Mid-Fjord,False,52.1,Bergen,major,100,59.8,Stavanger-Bergen,100,1.8,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10332,4,60.08243,6.080067,Zone 2: Western (60-63°N),Trommo,Occasional (3-5 years),Mid-Fjord,False,55.8,Bergen,major,100,58.1,Stavanger-Bergen,100,1.7,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10338,2,60.4075,6.356717,Zone 2: Western (60-63°N),Djupevik,Sporadic (0-2 years),Mid-Fjord,False,58.3,Bergen,major,100,97.0,Stavanger-Bergen,100,1.4,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10375,5,63.589466,9.409383,Zone 3: Mid (63-66°N),Nord Leksa,Occasional (3-5 years),Mid-Fjord,False,53.7,Trondheim,major,95,90.5,Ålesund-Trondheim,85,1.5,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10398,5,64.09225,10.115983,Zone 3: Mid (63-66°N),Seiskjæra,Occasional (3-5 years),Mid-Fjord,False,68.4,Steinkjer,small,30,156.1,Ålesund-Trondheim,85,1.0,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10409,3,64.64391,11.388517,Zone 3: Mid (63-66°N),Kjelneset,Occasional (3-5 years),Mid-Fjord,False,16.9,Namsos,small,25,92.1,Trondheim-Bodø,80,3.3,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
10410,5,64.77393,11.44087,Zone 3: Mid (63-66°N),Hindholmen,Occasional (3-5 years),Mid-Fjord,False,30.7,Namsos,small,25,78.5,Trondheim-Bodø,80,2.2,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10417,0,64.9591,11.6157,Zone 3: Mid (63-66°N),Storbukta,Sporadic (0-2 years),Mid-Fjord,False,51.5,Namsos,small,25,57.0,Trondheim-Bodø,80,1.8,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10421,0,64.92893,11.912917,Zone 3: Mid (63-66°N),Storvikbukta,Sporadic (0-2 years),Mid-Fjord,False,51.7,Namsos,small,25,52.2,Trondheim-Bodø,80,1.9,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10425,1,65.12658,12.071983,Zone 3: Mid (63-66°N),Heggvika,Sporadic (0-2 years),Mid-Fjord,False,42.1,Brønnøysund,small,30,29.3,Trondheim-Bodø,80,2.8,Close to Port (20-50km),Near Lane (10-30km),Low Vessel Traffic
10447,3,65.85145,12.2872,Zone 3: Mid (63-66°N),Mefaldskjæret,Occasional (3-5 years),Mid-Fjord,False,21.8,Sandnessjøen,small,25,56.2,Trondheim-Bodø,80,3.1,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10504,2,68.77659,14.613858,Zone 4: Northern (66-69°N),Vedvika,Sporadic (0-2 years),Inner Fjord,False,25.2,Stokmarknes,small,30,92.4,Bodø-Tromsø,75,2.4,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10505,2,68.58348,14.706217,Zone 4: Northern (66-69°N),Dragnes,Sporadic (0-2 years),Inner Fjord,False,12.1,Stokmarknes,small,30,82.9,Bodø-Tromsø,75,4.4,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
10513,1,67.45849,15.511583,Zone 4: Northern (66-69°N),Nedre Kvarv,Sporadic (0-2 years),Inner Fjord,False,50.9,Bodø,major,80,121.3,Bodø-Tromsø,75,1.4,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10518,0,68.02078,15.302383,Zone 4: Northern (66-69°N),Horsvågen,Sporadic (0-2 years),Inner Fjord,False,35.4,Svolvær,medium,45,75.1,Bodø-Tromsø,75,2.0,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10536,5,69.03105,16.481916,Zone 5: Arctic (69-71°N),Høgholmen,Occasional (3-5 years),Inner Fjord,False,25.8,Harstad,medium,50,65.4,Bodø-Tromsø,75,2.6,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10544,2,69.18692,17.013733,Zone 5: Arctic (69-71°N),Flakstadvåg,Sporadic (0-2 years),Inner Fjord,False,47.8,Harstad,medium,50,83.2,Bodø-Tromsø,75,1.6,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10545,1,69.335266,17.076218,Zone 5: Arctic (69-71°N),Sylsnes,Sporadic (0-2 years),Inner Fjord,False,64.0,Harstad,medium,50,99.9,Bodø-Tromsø,75,1.3,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10550,3,68.72922,17.307068,Zone 4: Northern (66-69°N),Skardbergvika,Occasional (3-5 years),Inner Fjord,False,33.6,Harstad,medium,50,39.8,Bodø-Tromsø,75,2.7,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10552,1,68.89622,17.487316,Zone 4: Northern (66-69°N),Storvika III,Sporadic (0-2 years),Inner Fjord,False,41.2,Harstad,medium,50,59.2,Bodø-Tromsø,75,2.0,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10570,1,69.79892,20.641933,Zone 5: Arctic (69-71°N),Uløy,Sporadic (0-2 years),Mid-Fjord,False,67.4,Tromsø,major,85,47.6,Tromsø-Hammerfest,60,1.8,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10582,0,58.21977,6.685633,Zone 1: Southern (58-60°N),Tarmevikodden,Sporadic (0-2 years),Mid-Fjord,False,78.5,Kristiansand,major,90,32.7,Kristiansand-Stavanger,95,2.1,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
10611,3,70.24958,21.706633,Zone 5: Arctic (69-71°N),Marøya,Occasional (3-5 years),Mid-Fjord,False,72.1,Alta,small,30,17.5,Tromsø-Hammerfest,60,3.4,Moderate (50-100km),Near Lane (10-30km),Low Vessel Traffic
10614,4,70.263466,23.3193,Zone 5: Arctic (69-71°N),Kråkevik,Occasional (3-5 years),Mid-Fjord,False,40.6,Alta,small,30,75.5,Tromsø-Hammerfest,60,1.9,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10616,5,70.57315,23.397882,Zone 5: Arctic (69-71°N),Vinnalandet,Occasional (3-5 years),Mid-Fjord,False,18.0,Hammerfest,medium,45,90.2,Tromsø-Hammerfest,60,3.2,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
10635,5,70.5734,24.074734,Zone 5: Arctic (69-71°N),Toknebuktneset,Occasional (3-5 years),Mid-Fjord,False,19.8,Hammerfest,medium,45,112.0,Hammerfest-Kirkenes,50,2.8,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
10652,1,70.7514,25.636984,Zone 5: Arctic (69-71°N),Vedbotn,Sporadic (0-2 years),Mid-Fjord,False,30.8,Honningsvåg,small,20,76.4,Hammerfest-Kirkenes,50,2.2,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10660,1,70.88875,24.941366,Zone 5: Arctic (69-71°N),Skinnstakkvika,Sporadic (0-2 years),Mid-Fjord,False,40.5,Honningsvåg,small,20,104.6,Hammerfest-Kirkenes,50,1.7,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10724,1,69.81612,20.717817,Zone 5: Arctic (69-71°N),Klokkstein,Sporadic (0-2 years),Mid-Fjord,False,70.7,Tromsø,major,85,44.4,Tromsø-Hammerfest,60,1.8,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10726,2,69.860085,20.713966,Zone 5: Arctic (69-71°N),Uløybukt,Sporadic (0-2 years),Mid-Fjord,False,72.4,Tromsø,major,85,40.4,Tromsø-Hammerfest,60,1.9,Moderate (50-100km),Moderate (30-60km),Minimal Vessel Traffic
10734,0,69.57835,20.510433,Zone 5: Arctic (69-71°N),Gourtesjouka,Sporadic (0-2 years),Mid-Fjord,False,58.9,Tromsø,major,85,71.5,Tromsø-Hammerfest,60,1.5,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10735,0,69.66185,20.329067,Zone 5: Arctic (69-71°N),Storbukta,Sporadic (0-2 years),Mid-Fjord,False,52.1,Tromsø,major,85,67.1,Tromsø-Hammerfest,60,1.7,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10747,2,69.95137,19.587868,Zone 5: Arctic (69-71°N),Futnes,Sporadic (0-2 years),Mid-Fjord,False,45.3,Tromsø,major,85,70.7,Tromsø-Hammerfest,60,1.8,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10753,0,69.8813,19.434532,Zone 5: Arctic (69-71°N),Strandmo,Sporadic (0-2 years),Mid-Fjord,False,35.6,Tromsø,major,85,79.0,Tromsø-Hammerfest,60,2.0,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10754,0,69.833015,19.361467,Zone 5: Arctic (69-71°N),Glimbukta,Sporadic (0-2 years),Mid-Fjord,False,29.5,Tromsø,major,85,83.8,Tromsø-Hammerfest,60,2.2,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10757,3,70.0722,19.341066,Zone 5: Arctic (69-71°N),Dåvøya,Occasional (3-5 years),Mid-Fjord,False,54.3,Tromsø,major,85,76.8,Tromsø-Hammerfest,60,1.5,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10759,2,70.06638,19.305317,Zone 5: Arctic (69-71°N),Karanes,Sporadic (0-2 years),Mid-Fjord,False,53.3,Tromsø,major,85,78.2,Tromsø-Hammerfest,60,1.6,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
10789,3,70.28717,23.466833,Zone 5: Arctic (69-71°N),Store Lerresfjord,Occasional (3-5 years),Mid-Fjord,False,43.7,Alta,small,30,81.4,Tromsø-Hammerfest,60,1.7,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10790,4,70.38598,23.472271,Zone 5: Arctic (69-71°N),Olderfjord,Occasional (3-5 years),Mid-Fjord,False,36.0,Hammerfest,medium,45,84.2,Tromsø-Hammerfest,60,1.9,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10791,4,70.2831,23.400017,Zone 5: Arctic (69-71°N),Nordnes,Occasional (3-5 years),Mid-Fjord,False,42.9,Alta,small,30,78.9,Tromsø-Hammerfest,60,1.8,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10794,3,70.12487,23.223034,Zone 5: Arctic (69-71°N),Mortensnes,Occasional (3-5 years),Mid-Fjord,False,25.3,Alta,small,30,71.1,Tromsø-Hammerfest,60,2.6,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10795,2,70.2122,22.2785,Zone 5: Arctic (69-71°N),Olaneset,Sporadic (0-2 years),Mid-Fjord,False,52.2,Alta,small,30,35.8,Tromsø-Hammerfest,60,2.3,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
10796,1,70.19289,21.81905,Zone 5: Arctic (69-71°N),Hundbergan,Sporadic (0-2 years),Mid-Fjord,False,65.2,Alta,small,30,18.4,Tromsø-Hammerfest,60,3.3,Moderate (50-100km),Near Lane (10-30km),Low Vessel Traffic
10798,0,70.0186,22.018316,Zone 5: Arctic (69-71°N),Svartberget,Sporadic (0-2 years),Mid-Fjord,False,50.8,Alta,small,30,29.3,Tromsø-Hammerfest,60,2.6,Moderate (50-100km),Near Lane (10-30km),Low Vessel Traffic
10803,2,69.90455,21.876833,Zone 5: Arctic (69-71°N),Fjellbukt,Sporadic (0-2 years),Mid-Fjord,False,54.6,Alta,small,30,34.0,Tromsø-Hammerfest,60,2.3,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
10804,0,69.85198,21.828983,Zone 5: Arctic (69-71°N),Karvika,Sporadic (0-2 years),Mid-Fjord,False,56.8,Alta,small,30,37.9,Tromsø-Hammerfest,60,2.2,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
10806,2,69.88507,21.729982,Zone 5: Arctic (69-71°N),Rakkenes,Sporadic (0-2 years),Mid-Fjord,False,60.3,Alta,small,30,32.9,Tromsø-Hammerfest,60,2.3,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
10808,2,69.9116,21.597166,Zone 5: Arctic (69-71°N),Hjellberget,Sporadic (0-2 years),Mid-Fjord,False,65.3,Alta,small,30,28.2,Tromsø-Hammerfest,60,2.5,Moderate (50-100km),Near Lane (10-30km),Low Vessel Traffic
10811,0,70.1337,23.330383,Zone 5: Arctic (69-71°N),Elva I Årøysundet,Sporadic (0-2 years),Mid-Fjord,False,26.1,Alta,small,30,75.1,Tromsø-Hammerfest,60,2.5,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10814,5,70.24095,23.28445,Zone 5: Arctic (69-71°N),MårsanYesrga,Occasional (3-5 years),Mid-Fjord,False,38.0,Alta,small,30,73.9,Tromsø-Hammerfest,60,1.9,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10819,1,70.091,22.755167,Zone 5: Arctic (69-71°N),Eidsnes,Sporadic (0-2 years),Mid-Fjord,False,29.8,Alta,small,30,53.8,Tromsø-Hammerfest,60,2.5,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10821,2,70.09161,22.708982,Zone 5: Arctic (69-71°N),Tuvan,Sporadic (0-2 years),Mid-Fjord,False,31.1,Alta,small,30,52.0,Tromsø-Hammerfest,60,2.5,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10822,3,70.08587,22.6618,Zone 5: Arctic (69-71°N),Rivarbukt,Occasional (3-5 years),Mid-Fjord,False,32.0,Alta,small,30,50.3,Tromsø-Hammerfest,60,2.5,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10825,1,70.1517,22.312668,Zone 5: Arctic (69-71°N),Steinviknes,Sporadic (0-2 years),Mid-Fjord,False,47.0,Alta,small,30,36.5,Tromsø-Hammerfest,60,2.4,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
10828,3,70.53805,23.558533,Zone 5: Arctic (69-71°N),Kleppenes N,Occasional (3-5 years),Mid-Fjord,False,18.8,Hammerfest,medium,45,93.6,Tromsø-Hammerfest,60,3.1,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
10837,1,70.666435,23.164333,Zone 5: Arctic (69-71°N),Kuvika,Sporadic (0-2 years),Mid-Fjord,False,20.1,Hammerfest,medium,45,89.1,Tromsø-Hammerfest,60,2.9,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10838,2,70.62572,23.104816,Zone 5: Arctic (69-71°N),Slettnesfjord,Sporadic (0-2 years),Mid-Fjord,False,23.5,Hammerfest,medium,45,84.5,Tromsø-Hammerfest,60,2.6,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
10839,2,70.35332,23.079117,Zone 5: Arctic (69-71°N),Store Kufjord,Sporadic (0-2 years),Mid-Fjord,False,45.1,Hammerfest,medium,45,69.1,Tromsø-Hammerfest,60,1.8,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
10840,5,70.34652,22.974916,Zone 5: Arctic (69-71°N),Lille Kufjord,Occasional (3-5 years),Mid-Fjord,False,47.8,Hammerfest,medium,45,65.1,Tromsø-Hammerfest,60,1.8,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
